,task,solution,target
37,4c5a1413-e27d-4b6a-b218-bc8e2a3ade0e,"
def divisors(n):
    divs = [1, n]
    i = 2
    while i * i <= n:
        if n % i:
            i += 1
        else:
            divs.append(i)
            n //= i
            i = 2
    if i > 2:
        for j in range(i, n + 1):
            divs.append(j)
    print(*sorted(divs))

n = int(input())
divisors(n)
",1.0
38,4c5a1413-e27d-4b6a-b218-bc8e2a3ade0e,"def main():
    x = int(input())
    for i in range(1, x + 1):
        if x % i == 0:
            print(i, end=' ')

if __name__ == '__main__':
    main()",1.0
39,06a06b1c-da2e-4210-b889-371de309b82f,"
N = int(input())
zeros = 0
positive = 0
negative = 0
for i in range(N):
  number = int(input())
  if number == 0:
    zeros += 1
  elif number > 0:
    positive += 1
  else:
    negative += 1
print(zeros, positive, negative)
",1.0
40,06a06b1c-da2e-4210-b889-371de309b82f,"
n = int(input())
zeros = positives = negatives = 0
for i in range(n):
    num = int(input())
    if num == 0:
        zeros += 1
    elif num > 0:
        positives += 1
    else:
        negatives += 1
print(f'{zeros}  {positives}  {negatives}')
",1.0
41,06a06b1c-da2e-4210-b889-371de309b82f,"n = int(input())
numbers = list(map(int, input().split()))

zero_count = 0
positive_count = 0
negative_count = 0

for num in numbers:
    if num == 0:
        zero_count += 1
    elif num > 0:
        positive_count += 1
    else:
        negative_count += 1

print(zero_count, positive_count, negative_count)",1.0
42,157c7563-5b83-4f84-b184-e15788a65471,"
a = int(input())
i = 2
while a % i != 0:
    i += 1
print(i)
",1.0
43,157c7563-5b83-4f84-b184-e15788a65471,"
n = int(input())
if n < 4:
 print(2)
else:
 for i in range(2, n):
 if n % i == 0:
 print(i)
 break
",1.0
44,157c7563-5b83-4f84-b184-e15788a65471,"def main():
    a = int(input())
    for i in range(2, a + 1):
        if a % i == 0:
            print(i)
            break

if __name__ == ""__main__"":
    main()",1.0
45,26acdc8d-1ff5-439b-81bd-00672786ec6d,"
sum = 0
number = int(input())
while number != 0:
  sum += number
  number = int(input())
print(sum)
",1.0
46,26acdc8d-1ff5-439b-81bd-00672786ec6d,"
def sequence_sum(sequence):
    total = 0
    for num in sequence:
        total += num
        if num != 0:
            continue
        break
    return total

sequence = list(map(int, input().split()))
print(sequence_sum(sequence))
",1.0
47,26acdc8d-1ff5-439b-81bd-00672786ec6d,"num = int(input())
sum = 0

while num != 0:
    sum += num
    num = int(input())

print(sum)",1.0
48,419d664d-81aa-4201-abc6-d514e7ee1691,"
sum = 0
count = 0
number = int(input())
while number != 0:
  sum += number
  count += 1
  number = int(input())
print(sum / count)
",1.0
49,419d664d-81aa-4201-abc6-d514e7ee1691,"
total = 0
count = 0
num = input(""Enter a sequence of integers. Input ends when the number 0 is entered: "")
while num != '0':
    total += float(num)
    count += 1
    num = input(""Enter next number: "")

mean = total / count
print(""{:.6f}"".format(mean))
",1.0
50,419d664d-81aa-4201-abc6-d514e7ee1691,"sum = 0
count = 0
while True:
    num = int(input())
    if num == 0:
        break
    sum += num
    count += 1
if count > 0:
    avg = sum / count
    print(avg)
else:
    print(0)",1.0
51,9cb9b7da-39db-403e-8612-483ae6cb4067,"
n = int(input())
maximum = n
while n != 0:
    n = int(input())
    if n > maximum: maximum = n
print(maximum)
",1.0
52,9cb9b7da-39db-403e-8612-483ae6cb4067,"
n = input()
max_num = int(n)
while n != '0':
    n = input()
    if int(n) > max_num:
        max_num = int(n)
print(max_num)
",1.0
53,9cb9b7da-39db-403e-8612-483ae6cb4067,"max_num = 0
num = int(input())

while num != 0:
    if num > max_num:
        max_num = num
    num = int(input())

print(max_num)",1.0
54,ffc65b57-d995-421d-a0bd-b34cc8cf34a5,"
n = int(input())
sum = 0
while n > 0:
  sum += n % 10
  n //= 10
print(sum)
",1.0
55,ffc65b57-d995-421d-a0bd-b34cc8cf34a5,"
def sum_digits(n):
    total = 0
    while n > 0:
        total += n % 10
        n //= 10
    return total

n = int(input())
print(sum_digits(n))
",1.0
56,ffc65b57-d995-421d-a0bd-b34cc8cf34a5,"def sum_of_digits(n):
    s = 0
    while n > 0:
        s += n % 10
        n //= 10
    return s

n = int(input())
print(sum_of_digits(n))",1.0
57,c519c7c3-cc1b-42eb-ae0d-77219a6ca340,"
n = int(input())
count = 0
while n > 0:
    if n % 10 == 0:
        count += 1
    n //= 10
print(count)
",1.0
58,c519c7c3-cc1b-42eb-ae0d-77219a6ca340,"
def count_zeros(n):
    count = 0
    while n > 0:
        if n % 10 == 0:
            count += 1
        n //= 10
    return count

n = int(input())
print(count_zeros(n))
",1.0
59,c519c7c3-cc1b-42eb-ae0d-77219a6ca340,"def count_zeros(n):
    count = 0
    while n > 0:
        if n % 10 == 0:
            count += 1
        n //= 10
    return count

n = int(input())
print(count_zeros(n))",1.0
60,3d57ecc4-72d1-43f5-ae17-2cc26c570f11,"
n = int(input())
reversed_number = 0
while n > 0:
  digit = n % 10
  reversed_number = reversed_number * 10 + digit
  n //= 10
print(reversed_number)
",1.0
61,3d57ecc4-72d1-43f5-ae17-2cc26c570f11,"
def reverse_number(n):
    reversed_num = 0
    original_num = n

    while n > 0:
        last_digit = n % 10
        reversed_num = reversed_num * 10 + last_digit
        n //= 10

    return reversed_num if original_num != reversed_num else 0

n = int(input())
print(reverse_number(n))
",1.0
62,3d57ecc4-72d1-43f5-ae17-2cc26c570f11,"def reverse_number(N):
    reversed = 0
    while N > 0:
        reversed = reversed * 10 + N % 10
        N //= 10
    return reversed

N = int(input())
print(reverse_number(N))",1.0
63,1b689872-4b61-4615-a14e-24e7a0bcb1ba,"
n = int(input())
a = [int(x) for x in input().split()]
ans = 1
for i in range(1, n):
    if a[i] != a[i - 1]:
        ans += 1
print(ans)
",1.0
64,1b689872-4b61-4615-a14e-24e7a0bcb1ba,"
n = int(input())
arr = list(map(int, input().split()))
count = 0
prev = arr[0]
for num in arr:
    if num != prev:
        count += 1
        prev = num
print(count)
",1.0
65,1b689872-4b61-4615-a14e-24e7a0bcb1ba,"n = int(input())
a = list(map(int, input().split()))
count = 1
for i in range(1, n):
    if a[i] != a[i - 1]:
        count += 1
print(count)",1.0
66,521b1be0-3bd5-45f4-94f5-dad4b82ad375,"
n = int(input())
arr = list(map(int, input().split()))
print(max(arr))
",1.0
67,521b1be0-3bd5-45f4-94f5-dad4b82ad375,"
n = int(input())
numbers = list(map(int, input().split()))
max_num = numbers[0]

for num in numbers:
    if num > max_num:
        max_num = num

print(max_num)
",1.0
68,521b1be0-3bd5-45f4-94f5-dad4b82ad375,"n = int(input())
arr = list(map(int, input().split()))
max_element = arr[0]

for i in range(1, n):
    if arr[i] > max_element:
        max_element = arr[i]

print(max_element)",1.0
69,1a27e016-52ff-4e78-89cb-956f0a7cac6b,"
n = int(input())
a = []
k = 0
b = {}
for i in range(n):
    k += 1
    a.append(int(input()))
    if not a[i] in b:
        b[a[i]] = [k]
    else:
        b[a[i]].append(k)
a.sort()
for i in a:
    for j in b[i]:
        print(j, end = ' ')
",1.0
70,1a27e016-52ff-4e78-89cb-956f0a7cac6b,"
n = int(input())
arr = list(map(int, input().split()))
arr.sort()
print(*arr)
",1.0
71,1a27e016-52ff-4e78-89cb-956f0a7cac6b,"def sort_array(arr):
    n = len(arr)
    for i in range(n - 1):
        for j in range(n - i - 1):
            if arr[j] > arr[j + 1]:
                arr[j], arr[j + 1] = arr[j + 1], arr[j]
    return arr

n = int(input())
arr = list(map(int, input().split()))
sorted_arr = sort_array(arr)
print(*sorted_arr)",1.0
72,420a5758-8cb1-445d-9bf7-bd8017a41cb2,"
a = list(map(int, input().split()))
max = a[0]
for i in a:
    max=max if max>i else i
a[a.index(max)], a[-1] = a[-1], max
print(*a)
",1.0
73,420a5758-8cb1-445d-9bf7-bd8017a41cb2,"
n = int(input())
arr = list(map(int, input().split()))
max_index = arr.index(max(arr))
if max_index != len(arr) - 1:
 print(*arr)
else:
 arr[max_index], arr[len(arr) - 1] = arr[len(arr) - 1], arr[max_index]
 print(*arr)
",1.0
74,420a5758-8cb1-445d-9bf7-bd8017a41cb2,"def main():
    n = int(input())
    arr = list(map(int, input().split()))

    max_idx = 0
    for i in range(1, n):
        if arr[i] > arr[max_idx]:
            max_idx = i

    arr[max_idx], arr[n - 1] = arr[n - 1], arr[max_idx]

    print(*arr)


if __name__ == ""__main__"":
    main()",1.0
75,a1653f16-6401-480c-9131-9fef0db152a8,"n=int(input());a=[];
for i in range(n):
  b=input().split();
  a.append([int(b[0]),int(b[1])]);
a.sort(key=lambda x:(-x[1],x[0]));
for i in a:print(i[0],i[1])",1.0
76,a1653f16-6401-480c-9131-9fef0db152a8,"
n = int(input())
participants = []
for _ in range(n):
    id_, points = map(int, input().split())
    participants.append((points, id_))

sorted_participants = sorted(participants, reverse=True)
for points, id_ in sorted_participants:
    print(id_, points)
",1.0
77,a1653f16-6401-480c-9131-9fef0db152a8,"n = int(input())
participants = []
for i in range(n):
    id, points = map(int, input().split())
    participants.append((id, points))

participants.sort(key=lambda x: (-x[1], x[0]))

for id, points in participants:
    print(id, points)",1.0
78,48531b77-6537-4389-a998-5c74e35ac9af,"n=input()
print(""YES""if int(n)%3==0 else ""NO"")",1.0
79,48531b77-6537-4389-a998-5c74e35ac9af,"
def main():
    n = input()
    if int(n) % 3 == 0:
        print(""YES"")
    else:
        print(""NO"")

main()
",1.0
80,48531b77-6537-4389-a998-5c74e35ac9af,"def is_divisible_by_3(n):
    total_sum = 0
    while n > 0:
        digit = n % 10
        total_sum += digit
        n //= 10
    return total_sum % 3 == 0

n = int(input())
print(""YES"" if is_divisible_by_3(n) else ""NO"")",1.0
81,28b5bd1f-2393-42f8-a320-976b5072a75b,"
import math

x1 = float(input())
y1 = float(input())
x2 = float(input())
y2 = float(input())

r = math.sqrt((x2 - x1)**2 + (y2 - y1)**2)
print(""%0.6f %0.6f"" % (2 * math.pi * r, math.pi * r**2))
",1.0
82,28b5bd1f-2393-42f8-a320-976b5072a75b,"
import math

x1, y1, x2, y2 = map(float, input().split())

dx = x2 - x1
dy = y2 - y1

radius = math.sqrt((dx * dx) + (dy * dy))

area = math.pi * (radius * radius)

print(format(radius, '.6f') + ' ' + format(area, '.6f'))
```

However, since you asked for a version without any imports, here's the equivalent code without using the `math` module:

```python
x1, y1, x2, y2 = map(float, input().split())

dx = x2 - x1
dy = y2 - y1

radius_sqr = (dx * dx) + (dy * dy)
radius = math.sqrt(radius_sqr)

area = 3.14 * (radius * radius)

print(format(radius, '.6f') + ' ' + format(area, '.6f'))
",1.0
83,28b5bd1f-2393-42f8-a320-976b5072a75b,"def distance(x1, y1, x2, y2):
    return ((x2 - x1) ** 2 + (y2 - y1) ** 2) ** 0.5

def circle_length(radius):
    return 2 * 3.14 * radius

def circle_area(radius):
    return 3.14 * radius ** 2

x1, y1, x2, y2 = map(float, input().split())
radius = distance(x1, y1, x2, y2)
length = circle_length(radius)
area = circle_area(radius)

print(f""{length:.6f} {area:.6f}"")",1.0
84,431be734-39e6-4f58-aec7-61e67c8ee1b5,"
year = int(input())
if (year % 4 == 0 and year % 100 != 0) or year % 400 == 0:
  print(""YES"")
else:
  print(""NO"")
",1.0
85,431be734-39e6-4f58-aec7-61e67c8ee1b5,"
year = int(input())
if year % 4 == 0 and (year % 100 != 0 or year % 400 == 0):
 print(""YES"")
else:
 print(""NO"")
",1.0
86,431be734-39e6-4f58-aec7-61e67c8ee1b5,"year = int(input())

if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
    print(""YES"")
else:
    print(""NO"")",1.0
87,eabdf11f-d1f1-44e0-8017-20e8e541ec68,"a = int(input())
b = int(input())
c = int(input())
print('YES' if a + b > c and b + c > a and c + a > b else 'NO')",1.0
88,eabdf11f-d1f1-44e0-8017-20e8e541ec68,"
a = int(input(""Enter first number: ""))
b = int(input(""Enter second number: ""))
c = int(input(""Enter third number: ""))

if a + b > c and b + c > a and a + c > b:
    print(""YES"")
else:
    print(""NO"")
",1.0
89,eabdf11f-d1f1-44e0-8017-20e8e541ec68,"a = int(input())
b = int(input())
c = int(input())

if a + b > c and a + c > b and b + c > a:
    print(""YES"")
else:
    print(""NO"")",1.0
90,e5e8f4d5-0b0f-4a52-b5a7-12f8ef0a52f0,"
a = int(input())
b = int(input())
c = int(input())

if a <= b <= c:
    print(a, b, c)
if a <= c <= b:
    print(a, c, b)
if b <= a <= c:
    print(b, a, c)
if b <= c <= a:
    print(b, c, a)
if c <= a <= b:
    print(c, a, b)
if c <= b <= a:
    print(c, b, a)
",1.0
91,e5e8f4d5-0b0f-4a52-b5a7-12f8ef0a52f0,"
a = int(input())
b = int(input())
c = int(input())

if a <= b and a <= c:
    if b <= c:
        print(a, b, c)
    else:
        print(a, c, b)
elif b <= a and b <= c:
    if a <= c:
        print(b, a, c)
    else:
        print(b, c, a)
else:
    if a <= b:
        print(c, a, b)
    else:
        print(c, b, a)
",1.0
92,e5e8f4d5-0b0f-4a52-b5a7-12f8ef0a52f0,"a = int(input())
b = int(input())
c = int(input())

if a > b:
    a, b = b, a
if a > c:
    a, c = c, a
if b > c:
    b, c = c, b

print(a, b, c)",1.0
93,ce727aeb-b2aa-4da5-be32-636ce90da78c,"
a, b, c, d = map(int, input().split())
for i in range (a, b+1):
    if i%d==c:
        print(i, end="" "")
",1.0
94,ce727aeb-b2aa-4da5-be32-636ce90da78c,"
a, b, c, d = map(int, input().split())
for num in range(a, b+1):
    if num % d == c:
        print(num, end=' ')
",1.0
95,ce727aeb-b2aa-4da5-be32-636ce90da78c,"a, b, c, d = map(int, input().split())

for num in range(a, b + 1):
    if (num - c) % d == 0:
        print(num)",1.0
96,fe35f9e7-0b58-461f-9278-39f03054e886,"a, b = [int(x) for x in input().split()]
print(*[x for x in range(a, b + 1) if x == x**0.5**2])",1.0
97,fe35f9e7-0b58-461f-9278-39f03054e886,"
a, b = map(int, input().split())
for i in range(a, b+1):
    if i*i == i:
        print(i, end=' ')
",1.0
98,fe35f9e7-0b58-461f-9278-39f03054e886,"a = int(input())
b = int(input())

for i in range(a, b + 1):
    j = 1
    while j * j <= i:
        j += 1
    j -= 1
    if j * j == i:
        print(i, end=' ')",1.0
99,893cc270-337f-4829-bb45-0f60d1209419,"
n = int(input())
k = 0
power = 1
while power < n:
  power *= 2
  k += 1
print(k)
",1.0
100,893cc270-337f-4829-bb45-0f60d1209419,"
def power(base, exp):
    result = 1
    for _ in range(exp):
        result *= base
    return result

n = int(input())
k = 0
while power(2, k) < n:
    k += 1
print(k)
",1.0
101,893cc270-337f-4829-bb45-0f60d1209419,"n = int(input())

k = 0
while 2 ** k < n:
    k += 1

print(k)",1.0
102,e618611f-e3b1-4f6f-a57c-44f0d96e4184,"
a,b=map(int,input().split())
while(a!=b):
    if a%2==0 and a>b:
        print(':2')
        a=a//2
    else:
        print('-1')
        a-=1
",1.0
103,e618611f-e3b1-4f6f-a57c-44f0d96e4184,"
def doubler(n, cmd='', err=False):
    if n == 1:
        return '', True
    if n % 2 == 1 and not err:
        return f'Error: Odd number encountered at {cmd}!\n', False
    if n == 2:
        return '', True
    return f'{cmd}:2\n', doubler(n // 2, f'{cmd}-1\n', False)

def splitter(a, b):
    if a < b:
        a, b = b, a
    return doubler(a, '-1\n', False)[0].split('\n')[::-1]

a, b = map(int, input().split())
print('\n'.join(splitter(a, b)))
",1.0
104,e618611f-e3b1-4f6f-a57c-44f0d96e4184,"def splitter(a, b):
    while a > b:
        if a % 2 == 0:
            a //= 2
            print("":2"")
        else:
            a -= 1
            print(""-1"")

a, b = map(int, input().split())
splitter(a, b)",1.0
105,1516a6df-2eca-4d9d-8705-395d2d5f3a1d,"
n = int(input())
min_d = 10
max_d = 0
while n > 0:
    d = n % 10
    if d < min_d:
        min_d = d
    if d > max_d:
        max_d = d
    n //= 10
print(min_d, max_d)
",1.0
106,1516a6df-2eca-4d9d-8705-395d2d5f3a1d,"
def find_max_min(n):
    max_digit = str(n)[0]
    min_digit = max_digit
    for digit in str(n):
        if int(digit) > int(max_digit):
            max_digit = digit
        if int(digit) < int(min_digit):
            min_digit = digit
    return min_digit + ' ' + max_digit

number = int(input())
print(find_max_min(number))
",1.0
107,1516a6df-2eca-4d9d-8705-395d2d5f3a1d,"n = int(input())
min_digit = 9
max_digit = 0

while n > 0:
    digit = n % 10
    if digit < min_digit:
        min_digit = digit
    if digit > max_digit:
        max_digit = digit
    n //= 10

print(min_digit, max_digit)",1.0
108,58443c34-5e1c-4cd5-b526-6442bc1c012d,"
x = input()
y = """"
for i in x.strip():
    if i=="" "" and y[-1]=="" "": continue
    y+=i
print(y)
",1.0
109,58443c34-5e1c-4cd5-b526-6442bc1c012d,"
s = input()
s = s.strip()
s = s.replace("" "", "" "")
print(s)
",1.0
110,58443c34-5e1c-4cd5-b526-6442bc1c012d,"def remove_extra_spaces(s):
    words = s.split()
    result = words[0]
    for word in words[1:]:
        result += ' ' + word
    return result

s = input()
print(remove_extra_spaces(s))",1.0
111,efe1a482-a2db-4971-a769-8b60a0beaf64,"
n = int(input())
a = list(map(int, input().split()))
count = 0
for i in range(1, n - 1):
  if a[i] > a[i - 1] and a[i] > a[i + 1]:
    count += 1
print(count)
",1.0
112,efe1a482-a2db-4971-a769-8b60a0beaf64,"
n = int(input())
arr = list(map(int, input().split()))
count = 0

for i in range(1, n-1):
    if arr[i] > arr[i-1] and arr[i] > arr[i+1]:
        count += 1

print(count)
",1.0
113,efe1a482-a2db-4971-a769-8b60a0beaf64,"def more_neighbors(arr):
    count = 0
    for i in range(1, len(arr) - 1):
        if arr[i] > arr[i - 1] and arr[i] > arr[i + 1]:
            count += 1
    return count

N = int(input())
arr = list(map(int, input().split()))

result = more_neighbors(arr)
print(result)",1.0
114,2ee76cc8-f815-4807-a797-4059ae8a8d76,"
n = int(input())
arr = list(map(int, input().split()))
d = {}
for i in arr:
  if i in d:
    d[i] += 1
  else:
    d[i] = 1
for i in sorted(d):
  print(i, d[i])
",1.0
115,2ee76cc8-f815-4807-a797-4059ae8a8d76,"
n = int(input())
arr = list(map(int, input().split()))
count = {}

for num in arr:
    if num in count:
        count[num] += 1
    else:
        count[num] = 1

sorted_count = sorted(count.items())

for num, count in sorted_count:
    print(f""{num} {count}"")
",1.0
116,2ee76cc8-f815-4807-a797-4059ae8a8d76,"def solution(arr):
    count = {}
    for num in arr:
        if num in count:
            count[num] += 1
        else:
            count[num] = 1
    for key, value in sorted(count.items()):
        print(key, value)

n = int(input())
arr = list(map(int, input().split()))
solution(arr)",1.0
